agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320500,00060,325200,,1964,6,322.7,30
USGS,05320500,00060,325200,,1964,7,139.7,31
USGS,05320500,00060,325200,,1964,8,29.3,31
USGS,05320500,00060,325200,,1964,9,857.9,30
USGS,05320500,00060,325200,,1964,10,269.4,31
USGS,05320500,00060,325200,,1964,11,111.2,30
USGS,05320500,00060,325200,,1964,12,74.2,31
USGS,05320500,00060,325200,,1965,1,53.1,31
USGS,05320500,00060,325200,,1965,2,42.5,28
USGS,05320500,00060,325200,,1965,3,166.4,31
USGS,05320500,00060,325200,,1965,4,6563.0,30
USGS,05320500,00060,325200,,1965,5,1411.0,31
USGS,05320500,00060,325200,,1965,6,1365.0,30
USGS,05320500,00060,325200,,1965,7,490.9,31
USGS,05320500,00060,325200,,1965,8,100.9,31
USGS,05320500,00060,325200,,1965,9,372.9,30
USGS,05320500,00060,325200,,1965,10,737.4,31
USGS,05320500,00060,325200,,1965,11,273.0,30
USGS,05320500,00060,325200,,1965,12,397.6,31
USGS,05320500,00060,325200,,1966,1,103.2,31
USGS,05320500,00060,325200,,1966,2,373.3,28
USGS,05320500,00060,325200,,1966,3,736.1,31
USGS,05320500,00060,325200,,1966,4,1227.0,30
USGS,05320500,00060,325200,,1966,5,468.2,31
USGS,05320500,00060,325200,,1966,6,314.0,30
USGS,05320500,00060,325200,,1966,7,285.2,31
USGS,05320500,00060,325200,,1966,8,54.3,31
USGS,05320500,00060,325200,,1966,9,21.1,30
USGS,05320500,00060,325200,,1966,10,115.3,31
USGS,05320500,00060,325200,,1966,11,74.9,30
USGS,05320500,00060,325200,,1966,12,26.0,31
USGS,05320500,00060,325200,,1967,1,24.7,31
USGS,05320500,00060,325200,,1967,2,28.3,28
USGS,05320500,00060,325200,,1967,3,986.4,31
USGS,05320500,00060,325200,,1967,4,1353.0,30
USGS,05320500,00060,325200,,1967,5,431.0,31
USGS,05320500,00060,325200,,1967,6,2654.0,30
USGS,05320500,00060,325200,,1967,7,697.7,31
USGS,05320500,00060,325200,,1967,8,108.7,31
USGS,05320500,00060,325200,,1967,9,42.2,30
USGS,05320500,00060,325200,,1967,10,26.9,31
USGS,05320500,00060,325200,,1967,11,31.4,30
USGS,05320500,00060,325200,,1967,12,25.4,31
USGS,05320500,00060,325200,,1968,1,8.26,31
USGS,05320500,00060,325200,,1968,2,8.89,29
