parm_cd,group,parm_nm,parm_unit
1021,"Inorganics, Minor, Non-metals","Boron, suspended sediment, recoverable, micrograms per liter",ug/l
1022,"Inorganics, Minor, Non-metals","Boron, water, unfiltered, recoverable, micrograms per liter",ug/l
1023,"Inorganics, Minor, Non-metals","Boron, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1025,"Inorganics, Minor, Metals","Cadmium, water, filtered, micrograms per liter",ug/l
1026,"Inorganics, Minor, Metals","Cadmium, suspended sediment, recoverable, micrograms per liter",ug/l
1027,"Inorganics, Minor, Metals","Cadmium, water, unfiltered, micrograms per liter",ug/l
1028,"Inorganics, Minor, Metals","Cadmium, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1029,"Inorganics, Minor, Metals","Chromium, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1030,"Inorganics, Minor, Metals","Chromium, water, filtered, micrograms per liter",ug/l
1031,"Inorganics, Minor, Metals","Chromium, suspended sediment, recoverable, micrograms per liter",ug/l
1032,"Inorganics, Minor, Metals","Chromium(VI), water, filtered, micrograms per liter as Cr",ug/l as Cr
1033,"Inorganics, Minor, Metals","Chromium(III), water, unfiltered, micrograms per liter",ug/l
1034,"Inorganics, Minor, Metals","Chromium, water, unfiltered, recoverable, micrograms per liter",ug/l
1035,"Inorganics, Minor, Metals","Cobalt, water, filtered, micrograms per liter",ug/l
1036,"Inorganics, Minor, Metals","Cobalt, suspended sediment, recoverable, micrograms per liter",ug/l
1037,"Inorganics, Minor, Metals","Cobalt, water, unfiltered, recoverable, micrograms per liter",ug/l
1038,"Inorganics, Minor, Metals","Cobalt, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1040,"Inorganics, Minor, Metals","Copper, water, filtered, micrograms per liter",ug/l
1041,"Inorganics, Minor, Metals","Copper, suspended sediment, recoverable, micrograms per liter",ug/l
1042,"Inorganics, Minor, Metals","Copper, water, unfiltered, recoverable, micrograms per liter",ug/l
1043,"Inorganics, Minor, Metals","Copper, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1044,"Inorganics, Minor, Metals","Iron, suspended sediment, recoverable, micrograms per liter",ug/l
1045,"Inorganics, Minor, Metals","Iron, water, unfiltered, recoverable, micrograms per liter",ug/l
1046,"Inorganics, Minor, Metals","Iron, water, filtered, micrograms per liter",ug/l
1047,"Inorganics, Minor, Metals","Iron(II), water, filtered, micrograms per liter",ug/l
1048,"Inorganics, Minor, Metals","Iron(II) plus iron(III), water, filtered, micrograms per liter",ug/l
1049,"Inorganics, Minor, Metals","Lead, water, filtered, micrograms per liter",ug/l
1050,"Inorganics, Minor, Metals","Lead, suspended sediment, recoverable, micrograms per liter",ug/l
1051,"Inorganics, Minor, Metals","Lead, water, unfiltered, recoverable, micrograms per liter",ug/l
1052,"Inorganics, Minor, Metals","Lead, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1053,"Inorganics, Minor, Metals","Manganese, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1054,"Inorganics, Minor, Metals","Manganese, suspended sediment, recoverable, micrograms per liter",ug/l
1055,"Inorganics, Minor, Metals","Manganese, water, unfiltered, recoverable, micrograms per liter",ug/l
1056,"Inorganics, Minor, Metals","Manganese, water, filtered, micrograms per liter",ug/l
1057,"Inorganics, Minor, Metals","Thallium, water, filtered, micrograms per liter",ug/l
1058,"Inorganics, Minor, Metals","Thallium, suspended sediment, recoverable, micrograms per liter",ug/l
1059,"Inorganics, Minor, Metals","Thallium, water, unfiltered, micrograms per liter",ug/l
1060,"Inorganics, Minor, Metals","Molybdenum, water, filtered, micrograms per liter",ug/l
1061,"Inorganics, Minor, Metals","Molybdenum, suspended sediment, recoverable, micrograms per liter",ug/l
1062,"Inorganics, Minor, Metals","Molybdenum, water, unfiltered, recoverable, micrograms per liter",ug/l
1063,"Inorganics, Minor, Metals","Molybdenum, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1064,"Inorganics, Minor, Non-metals","Tellurium, water, unfiltered, micrograms per liter",ug/l
1065,"Inorganics, Minor, Metals","Nickel, water, filtered, micrograms per liter",ug/l
1066,"Inorganics, Minor, Metals","Nickel, suspended sediment, recoverable, micrograms per liter",ug/l
1067,"Inorganics, Minor, Metals","Nickel, water, unfiltered, recoverable, micrograms per liter",ug/l
1068,"Inorganics, Minor, Metals","Nickel, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1072,Nutrient,"Phosphorus, water, filtered, micrograms per liter as phosphorus",ug/l
1074,"Inorganics, Minor, Metals","Nickel, water, unfiltered, recoverable, micrograms per liter",ug/l
1075,"Inorganics, Minor, Metals","Silver, water, filtered, micrograms per liter",ug/l
1076,"Inorganics, Minor, Metals","Silver, suspended sediment, recoverable, micrograms per liter",ug/l
1077,"Inorganics, Minor, Metals","Silver, water, unfiltered, recoverable, micrograms per liter",ug/l
1078,"Inorganics, Minor, Metals","Silver, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1079,"Inorganics, Minor, Metals","Silver, water, unfiltered, recoverable, micrograms per liter",ug/l
1080,"Inorganics, Minor, Metals","Strontium, water, filtered, micrograms per liter",ug/l
1081,"Inorganics, Minor, Metals","Strontium, suspended sediment, recoverable, micrograms per liter",ug/l
1082,"Inorganics, Minor, Metals","Strontium, water, unfiltered, recoverable, micrograms per liter",ug/l
1083,"Inorganics, Minor, Metals","Strontium, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1084,"Inorganics, Minor, Metals","Strontium, water, unfiltered, recoverable, micrograms per liter",ug/l
1085,"Inorganics, Minor, Metals","Vanadium, water, filtered, micrograms per liter",ug/l
1086,"Inorganics, Minor, Metals","Vanadium, suspended sediment, total, micrograms per liter",ug/l
1087,"Inorganics, Minor, Metals","Vanadium, water, unfiltered, micrograms per liter",ug/l
1088,"Inorganics, Minor, Metals","Vanadium, bed sediment, total digestion, dry weight, milligrams per kilogram",mg/kg
1090,"Inorganics, Minor, Metals","Zinc, water, filtered, micrograms per liter",ug/l
1091,"Inorganics, Minor, Metals","Zinc, suspended sediment, recoverable, micrograms per liter",ug/l
1092,"Inorganics, Minor, Metals","Zinc, water, unfiltered, recoverable, micrograms per liter",ug/l
1093,"Inorganics, Minor, Metals","Zinc, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1094,"Inorganics, Minor, Metals","Zinc, water, unfiltered, recoverable, micrograms per liter",ug/l
1095,"Inorganics, Minor, Non-metals","Antimony, water, filtered, micrograms per liter",ug/l
1096,"Inorganics, Minor, Non-metals","Antimony, suspended sediment, total, micrograms per liter",ug/l
1097,"Inorganics, Minor, Non-metals","Antimony, water, unfiltered, micrograms per liter",ug/l
1098,"Inorganics, Minor, Non-metals","Antimony, bed sediment, total digestion, dry weight, milligrams per kilogram",mg/kg
1100,"Inorganics, Minor, Metals","Tin, water, filtered, micrograms per liter",ug/l
1101,"Inorganics, Minor, Metals","Tin, suspended sediment, recoverable, micrograms per liter",ug/l
1102,"Inorganics, Minor, Metals","Tin, water, unfiltered, recoverable, micrograms per liter",ug/l
1103,"Inorganics, Minor, Metals","Tin, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
1104,"Inorganics, Minor, Metals","Aluminum, water, unfiltered, recoverable, micrograms per liter",ug/l
1105,"Inorganics, Minor, Metals","Aluminum, water, unfiltered, recoverable, micrograms per liter",ug/l
1106,"Inorganics, Minor, Metals","Aluminum, water, filtered, micrograms per liter",ug/l
1107,"Inorganics, Minor, Metals","Aluminum, suspended sediment, recoverable, micrograms per liter",ug/l
1108,"Inorganics, Minor, Metals","Aluminum, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1110,"Inorganics, Minor, Metals","Cerium, water, filtered, micrograms per liter",ug/l
1112,"Inorganics, Minor, Metals","Cerium, water, unfiltered, micrograms per liter",ug/l
1113,"Inorganics, Minor, Metals","Cadmium, water, unfiltered, recoverable, micrograms per liter",ug/l
1114,"Inorganics, Minor, Metals","Lead, water, unfiltered, recoverable, micrograms per liter",ug/l
1115,"Inorganics, Minor, Metals","Cesium, water, filtered, micrograms per liter",ug/l
1117,"Inorganics, Minor, Metals","Cesium, water, unfiltered, micrograms per liter",ug/l
1118,"Inorganics, Minor, Metals","Chromium, water, unfiltered, recoverable, micrograms per liter",ug/l
1119,"Inorganics, Minor, Metals","Copper, water, unfiltered, recoverable, micrograms per liter",ug/l
1120,"Inorganics, Minor, Metals","Gallium, water, filtered, micrograms per liter",ug/l
1122,"Inorganics, Minor, Metals","Gallium, water, unfiltered, micrograms per liter",ug/l
1123,"Inorganics, Minor, Metals","Manganese, water, unfiltered, recoverable, micrograms per liter",ug/l
1125,"Inorganics, Minor, Non-metals","Germanium, water, filtered, micrograms per liter",ug/l
1126,"Inorganics, Minor, Non-metals","Germanium, suspended sediment, total, micrograms per liter",ug/l
1127,"Inorganics, Minor, Non-metals","Germanium, water, unfiltered, micrograms per liter",ug/l
1128,"Inorganics, Minor, Metals","Thallium, water, unfiltered, recoverable, micrograms per liter",ug/l
1129,"Inorganics, Minor, Metals","Molybdenum, water, unfiltered, recoverable, micrograms per liter",ug/l
1130,"Inorganics, Minor, Metals","Lithium, water, filtered, micrograms per liter",ug/l
1131,"Inorganics, Minor, Metals","Lithium, suspended sediment, recoverable, micrograms per liter",ug/l
1132,"Inorganics, Minor, Metals","Lithium, water, unfiltered, recoverable, micrograms per liter",ug/l
1133,"Inorganics, Minor, Metals","Lithium, bed sediment, dry weight, milligrams per kilogram",mg/kg
1134,"Inorganics, Minor, Metals","Lithium, water, unfiltered, recoverable, micrograms per liter",ug/l
1135,"Inorganics, Minor, Metals","Rubidium, water, filtered, micrograms per liter",ug/l
1137,"Inorganics, Minor, Metals","Rubidium, water, unfiltered, micrograms per liter",ug/l
1140,"Inorganics, Major, Non-metals","Silicon, water, filtered, micrograms per liter",ug/l
1142,"Inorganics, Major, Non-metals","Silicon, water, unfiltered, micrograms per liter",ug/l
1145,"Inorganics, Minor, Non-metals","Selenium, water, filtered, micrograms per liter",ug/l
1146,"Inorganics, Minor, Non-metals","Selenium, suspended sediment, total, micrograms per liter",ug/l
1147,"Inorganics, Minor, Non-metals","Selenium, water, unfiltered, micrograms per liter",ug/l
1148,"Inorganics, Minor, Non-metals","Selenium, bed sediment, total digestion, dry weight, milligrams per kilogram",mg/kg
1150,"Inorganics, Minor, Metals","Titanium, water, filtered, micrograms per liter",ug/l
1151,"Inorganics, Minor, Metals","Titanium, suspended sediment, total, micrograms per liter",ug/l
1152,"Inorganics, Minor, Metals","Titanium, water, unfiltered, micrograms per liter",ug/l
1153,"Inorganics, Minor, Metals","Titanium, bed sediment, total digestion, dry weight, milligrams per kilogram",mg/kg
1154,"Inorganics, Minor, Metals","Tungsten, water, unfiltered, micrograms per liter",ug/l
1155,"Inorganics, Minor, Metals","Tungsten, water, filtered, micrograms per liter",ug/l
1156,"Inorganics, Minor, Metals","Tungsten, suspended sediment, micrograms per liter",ug/l
1160,"Inorganics, Minor, Metals","Zirconium, water, filtered, micrograms per liter",ug/l
1162,"Inorganics, Minor, Metals","Zirconium, water, unfiltered, micrograms per liter",ug/l
1168,"Inorganics, Minor, Metals","Indium, water, unfiltered, micrograms per liter",ug/l
1170,"Inorganics, Minor, Metals","Iron, bed sediment, total digestion, dry weight, milligrams per kilogram",mg/kg
1171,"Inorganics, Minor, Metals","Platinum, water, unfiltered, micrograms per liter",ug/l
1172,"Inorganics, Minor, Metals","Platinum, water, filtered, micrograms per liter",ug/l
1180,"Inorganics, Minor, Metals","Lanthanum, water, filtered, micrograms per liter",ug/l
1182,"Inorganics, Minor, Metals","Lanthanum, water, unfiltered, micrograms per liter",ug/l
1187,"Inorganics, Minor, Metals","Scandium, water, filtered, micrograms per liter",ug/l
1189,"Inorganics, Minor, Metals","Scandium, water, unfiltered, micrograms per liter",ug/l
1194,"Inorganics, Minor, Metals","Ytterbium, water, filtered, micrograms per liter",ug/l
1196,"Inorganics, Minor, Metals","Ytterbium, water, unfiltered, micrograms per liter",ug/l
1201,"Inorganics, Minor, Metals","Yttrium, water, filtered, micrograms per liter",ug/l
1203,"Inorganics, Minor, Metals","Yttrium, water, unfiltered, micrograms per liter",ug/l
1210,"Inorganics, Minor, Metals","Palladium, water, unfiltered, micrograms per liter",ug/l
1218,"Inorganics, Minor, Metals","Terbium, water, unfiltered, micrograms per liter",ug/l
1219,"Inorganics, Minor, Metals","Gadolinium, water, unfiltered, micrograms per liter",ug/l
1221,"Inorganics, Minor, Metals","Mercury, soluble, dry atmospheric deposition, micrograms per kilogram",ug/kg
1225,"Inorganics, Minor, Metals","Nickel, insoluble, dry atmospheric deposition, micrograms per kilogram",ug/kg
1230,"Inorganics, Minor, Metals","Silver, soluble, dry atmospheric deposition, micrograms per kilogram",ug/kg
1236,"Inorganics, Minor, Metals","Europium, water, unfiltered, micrograms per liter",ug/l
1237,"Inorganics, Minor, Metals","Neodymium, water, unfiltered, micrograms per liter",ug/l
1238,"Inorganics, Minor, Metals","Praseodymium, water, unfiltered, micrograms per liter",ug/l
1239,"Inorganics, Minor, Metals","Niobium, water, unfiltered, micrograms per liter",ug/l
1240,"Inorganics, Minor, Metals","Iridium, water, unfiltered, micrograms per liter",ug/l
1241,"Inorganics, Minor, Metals","Osmium, water, unfiltered, micrograms per liter",ug/l
1242,"Inorganics, Minor, Metals","Rhenium, water, unfiltered, micrograms per liter",ug/l
1243,"Inorganics, Minor, Metals","Hafnium, water, unfiltered, micrograms per liter",ug/l
1244,"Inorganics, Minor, Metals","Lutetium, water, unfiltered, micrograms per liter",ug/l
1245,"Inorganics, Minor, Metals","Thulium, water, unfiltered, micrograms per liter",ug/l
1246,"Inorganics, Minor, Metals","Erbium, water, unfiltered, micrograms per liter",ug/l
1247,"Inorganics, Minor, Metals","Holmium, water, unfiltered, micrograms per liter",ug/l
